X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-8216583.12007296,5061486.60996449,1631535,Decicco Of Jv Inc. DBA Decicco Marketplace,3651 Lee Rd,,Jefferson Valley,NY,10535,1507,WESTCHESTER,Super Store,41.332344,-73.810822,,,700
-8788974.13811511,5330448.47884057,1632924,Dollar General 25297,9520 Lockport Rd,,Niagara Falls,NY,14304,1070,NIAGARA,Other,43.121269,-78.952698,,,701
-8400764.0005777,5344685.77134055,1390475,West Domick Market LLC,418 W Dominick St,,Rome,NY,13440,4829,ONEIDA,Convenience Store,43.21455,-75.465347,,,702
-8644274.60745155,5345250.94363705,1634415,Byrne Dairy Stone Road 151,1050 Stone Rd,,Rochester,NY,14616,4399,MONROE,Convenience Store,43.21825,-77.65284,,,703
-8236488.93745814,4977423.30188878,1646609,719 Brothers Famous Deli Corp,719 9th Avenue,,New York,NY,10019,    ,NEW YORK,Convenience Store,40.76284,-73.989639,,,779
-8780769.89164364,5307508.43474765,1640628,North End Bar and Grill,2692 Elmwood Ave,,Buffalo,NY,14217,1924,ERIE,Restaurant Meals Program,42.970669,-78.878998,,,803
-8225572.05763502,4990905.69615105,1122671,I & C Meat Market Inc,541 E 183rd St,,Bronx,NY,10458,7916,BRONX,Grocery Store,40.854511,-73.891571,,,844
-8228204.87491177,4989616.23073934,1360467,1605 Grocery And Deli Market Corp.,1605 Inwood Ave,,Bronx,NY,10452,2014,BRONX,Grocery Store,40.845749,-73.915222,,,845
-8226223.49929514,4991572.71778617,1633918,Ferrera Deli Grocery Corp,2381 Valentine Ave,,Bronx,NY,10458,7118,BRONX,Grocery Store,40.859043,-73.897423,,,846
-8487582.07144737,5326509.47932479,933696,Lakeland Mini Mart,915 State Fair Blvd,,Syracuse,NY,13209,1201,ONONDAGA,Convenience Store,43.095436,-76.245247,,,847
-8236797.29244763,4970980.69525323,418605,Don Juan Deli & Grocery,110 Forsyth St,,New York,NY,10002,5151,NEW YORK,Convenience Store,40.71899,-73.992409,,,849
-8230581.21208174,4959653.91322068,1632857,Food World 2719,4209 Avenue D,,Brooklyn,NY,11203,5707,KINGS,Super Store,40.641827,-73.936569,,,853
-8214278.91793302,4967429.74737275,1628454,Guy R Deli & Grill Corp.,10902 Guy r Brewer Blvd,,Jamaica,NY,11433,2907,QUEENS,Convenience Store,40.694809,-73.790123,,,857
-8228209.10505242,4989809.30121611,1637876,174th Grand Foodmart Corp,1645 Grand Ave,,Bronx,NY,10453,7719,BRONX,Convenience Store,40.847061,-73.91526,,,905
-8224444.1685543,4994998.325009,1635344,Fruit Bin Corp,3488 Jerome Ave,,Bronx,NY,10467,1002,BRONX,Grocery Store,40.882313,-73.881439,,,907
-8182833.61081272,5310957.57319516,1185269,WINDFLOWER FARM CSA,585 Meeting House Rd,,Valley Falls,NY,12185,2217,RENSSELAER,Farmers and Markets,42.993336,-73.507645,,,908
-8192246.34167624,4965863.28180978,1630977,J & J Food Center Inc.,470 Nassau Rd,,Roosevelt,NY,11575,1048,NASSAU,Convenience Store,40.684139,-73.592201,,,909
-8231125.67571121,5279554.73593508,1627781,Yazzy's Market Mobil,1210 Altamont Ave,,Schenectady,NY,12303,2901,SCHENECTADY,Convenience Store,42.786655,-73.94146,,,910
-8211380.26971226,5260002.92778117,1626833,Central Deli & Grocery,20 Central Ave,,Albany,NY,12210,1305,ALBANY,Convenience Store,42.657623,-73.764084,,,972
-8222574.00110898,4965094.52818399,1630643,Emdad Supermarket Grocery Inc/DBA:Emdad Sprmkt,1206 Liberty Ave,,Brooklyn,NY,11208,3412,KINGS,Grocery Store,40.678902,-73.864639,,,973
