street_address,zip_code,store_types,total_auth_count,deauth_count,address_history_years,churn_tier,store_names
1501 Flatbush Ave,11210,Convenience Store,3,3,31.1,Moderate,YAFAI DELI & GROCERY | Yafai Deli & Grocery | Yafai Deli Grocery
150 W Fordham Rd,10468,Medium Grocery Store | Small Grocery Store,3,3,30.6,Moderate,Fordham 150 Food Corp | Genesis Superette II Inc | LD 150 FOOD CORP
150 E 174th St,10457,Convenience Store | Small Grocery Store,3,3,21.1,Moderate,150 Aurora Grocery Corp | 150 J & J Deli Grocery Corp. | R.J.H. DELI GROCERY
18 W Fordham Rd,10468,Convenience Store,3,3,15.1,Moderate,18W Food Inc DBA Dollar Fare | Discount Fare Inc. | Family Deal Discount Inc.
1797 1st Ave,10128,Convenience Store | Medium Grocery Store,3,2,15.1,Moderate,1797 Empire Inc. | First Ave Lee's Market Inc. | Healthy Organic Foods & Deli Inc
1797 Prospect Pl,11233,Convenience Store | Small Grocery Store,3,2,21.7,Moderate,1797 Deli Grocery Corp | Baez Grocery Deli Corporation | PROSPECT PLACE MINI MARKET
1792 Flatbush Ave,11210,Convenience Store | Small Grocery Store,3,3,16.5,Moderate,36Th  Food & Grill Inc | East 36th Delicatessen | K & J Deli & Grill Corporation
1791 Gleason Ave,10472,Convenience Store | Small Grocery Store,3,3,29.5,Moderate,1791 San Antonio Grocery Corp | Gleason Grocery Corp | JUAN GROCERY
885 4th Ave,11232,Convenience Store,3,3,14.1,Moderate,Ans Deli & Grocery Inc | B Landi Deli Grocery Corp | Castillo Deli Grocery
885 Dekalb Ave,11221,Convenience Store | Medium Grocery Store,3,2,19.7,Moderate,City Center | Dekalb Dollar Store Inc | Dekalb Food Mart Inc.
880 Amsterdam Ave,10025,Convenience Store | Small Grocery Store,3,3,26,Moderate,A.M.H. Grocery Deli | Amsterdam Deli Grocery Corp. | Host Deli & Grocery
880 New Lots Ave,11208,Convenience Store | Small Grocery Store,3,3,23,Moderate,ALFONSO MOSQUEA DBA MOSQUEA FOOD CENTER & DELI | CASTILLO CORP | El Lucero Food Corp
