fns_record_id,store_name,store_type,street_address,city,borough,zip_code,county,state,latitude,longitude
261768,Rite Aid 1805,Other,3301 30th Ave,Astoria,Queens,11103,QUEENS,NY,40.766037,-73.919487
1654813,Apple Valley Supermarket Inc,Grocery Store,2654 Valentine Ave,Bronx,Bronx,10458,BRONX,NY,40.865391,-73.892975
261967,CVS  2411,Other,1569 1st Ave,New York,Manhattan,10028,NEW YORK,NY,40.774078,-73.951462
262059,ABE'S FRUITS INC.,Grocery Store,4315 15th Ave,Brooklyn,Brooklyn,11219,KINGS,NY,40.635387,-73.98452
1648747,M Supermarket 01,Other,767 E Tremont Ave,Bronx,Bronx,10460,BRONX,NY,40.844315,-73.888763
259532,Walgreens 10608,Other,9602 Rockaway Blvd,Ozone Park,Queens,11417,QUEENS,NY,40.680294,-73.84256
259652,1170 WEBSTER MEAT INC,Grocery Store,1170 Webster Ave,Bronx,Bronx,10456,BRONX,NY,40.830795,-73.91024
259707,A. A. RUBASHKIN & SONS INC,Specialty Store,4310 14th Ave,Brooklyn,Brooklyn,11219,KINGS,NY,40.636814,-73.986755
228912,TYULPAN INC.,Grocery Store,8323 20th Ave,Brooklyn,Brooklyn,11214,KINGS,NY,40.605846,-73.996895
1631720,1998 Market Place Corp,Convenience Store,1998 2nd Ave,New York,Manhattan,10029,NEW YORK,NY,40.788216,-73.94397
310487,BUY BEST GROCERY INC,Grocery Store,4516 8th Ave,Brooklyn,Brooklyn,11220,KINGS,NY,40.643543,-74.001213
1589134,Bronx Mini Mart Corp,Convenience Store,3324 3rd Ave,Bronx,Bronx,10456,BRONX,NY,40.826122,-73.907707
310781,MEDITERRANEAN FOODS INC,Grocery Store,3012 34th St,Astoria,Queens,11103,QUEENS,NY,40.76545,-73.919342
